SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22023,2544,0022300061,2023-10-24,LAL @ DEN,L,29,10,16,0.625,1,4,0.25,0,1,0.0,1,7,8,5,1,0,0,1,21,7,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300076,2023-10-26,LAL vs. PHX,W,35,7,14,0.5,1,5,0.2,6,8,0.75,1,7,8,9,2,2,5,1,21,22,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300100,2023-10-29,LAL @ SAC,L,39,11,19,0.579,3,8,0.375,2,6,0.333,0,15,15,8,0,0,8,2,27,-5,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300111,2023-10-30,LAL vs. ORL,W,33,7,17,0.412,2,6,0.333,3,4,0.75,0,3,3,4,3,1,5,0,19,5,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300127,2023-11-01,LAL vs. LAC,W,42,13,19,0.684,4,8,0.5,5,10,0.5,0,12,12,7,1,2,4,3,35,6,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300134,2023-11-04,LAL @ ORL,L,35,8,15,0.533,2,5,0.4,6,7,0.857,1,8,9,5,3,0,3,1,24,12,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300150,2023-11-06,LAL @ MIA,L,37,13,23,0.565,0,4,0.0,4,4,1.0,0,4,4,3,1,3,5,4,30,6,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300163,2023-11-08,LAL @ HOU,L,27,7,13,0.538,0,2,0.0,4,5,0.8,1,5,6,2,0,0,3,1,18,-24,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300015,2023-11-10,LAL @ PHX,W,36,11,17,0.647,3,4,0.75,7,11,0.636,1,10,11,6,1,1,4,1,32,2,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300026,2023-11-14,LAL vs. MEM,W,23,6,11,0.545,3,6,0.5,1,2,0.5,0,9,9,6,1,0,4,1,16,15,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300198,2023-11-15,LAL vs. SAC,L,35,9,15,0.6,3,7,0.429,7,8,0.875,2,8,10,12,4,1,6,1,28,0,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300036,2023-11-17,LAL @ POR,W,35,13,22,0.591,5,9,0.556,4,6,0.667,0,5,5,9,2,0,3,3,35,19,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300216,2023-11-19,LAL vs. HOU,W,40,14,19,0.737,2,5,0.4,7,9,0.778,1,5,6,8,3,0,2,0,37,2,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300042,2023-11-21,LAL vs. UTA,W,24,6,10,0.6,3,5,0.6,2,2,1.0,1,6,7,9,0,0,2,0,17,14,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300238,2023-11-22,LAL vs. DAL,L,36,9,19,0.474,4,9,0.444,4,7,0.571,2,7,9,7,0,0,3,0,26,7,1,2023-24,Regular Season,2544,LeBron James
22023,2544,0022300242,2023-11-25,LAL @ CLE,W,36,8,23,0.348,1,9,0.111,5,7,0.714,1,5,6,6,2,2,4,1,22,2,1,2023-24,Regular Season,2544,LeBron James
